exercise_name,type,bodypart,equipment,target
Bench barbell roll-out,Strength,Abdominals,Barbell,none
Barbell Side Bend,Strength,Abdominals,Barbell,none
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,none
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,none
Dumbbell spell caster,Strength,Abdominals,Dumbbell,none
Plate Twist,Strength,Abdominals,Other,none
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,none
Cable reverse crunch,Strength,Abdominals,Cable,none
Cable Russian Twists,Strength,Abdominals,Cable,none
Cable Seated Crunch,Strength,Abdominals,Cable,none
Cable Judo Flip,Strength,Abdominals,Cable,none
Gorilla Chin/Crunch,Strength,Abdominals,Body Only,none
Crunch - Hands Overhead,Strength,Abdominals,Body Only,none
Stomach Vacuum,Stretching,Abdominals,Body Only,none
Butt-Ups,Strength,Abdominals,Body Only,none
Janda Sit-Up,Strength,Abdominals,Body Only,none
Leg Pull-In,Strength,Abdominals,Body Only,none
Cross Crunch,Strength,Abdominals,Body Only,none
Full Moon,Strength,Abdominals,Body Only,none
Hanging knee raise with manual resistance,Strength,Abdominals,Body Only,none
Partner lying leg raise with lateral throw down,Strength,Abdominals,Body Only,none
Hanging leg raise with throw down,Strength,Abdominals,Body Only,none
Partner sit-up with high-five,Strength,Abdominals,Body Only,none
Partner lying leg raise with throw down,Strength,Abdominals,Body Only,none
Partner target sit-up,Strength,Abdominals,Body Only,none
Suspended Crunch,Strength,Abdominals,Body Only,none
Partner front Russian twist and pass,Strength,Abdominals,Medicine Ball,none
Partner side Russian twist and pass,Strength,Abdominals,Medicine Ball,none
Weighted Ball Side Bend,Strength,Abdominals,Exercise Ball,none
Band Hip Adductions,Strength,Adductors,Bands,none
Adductor SMR,Stretching,Adductors,Foam Roll,none
Lying Bent Leg Groin,Stretching,Adductors,Other,none
Standing Hip Circles,Stretching,Abductors,Body Only,none
Groiners,Stretching,Adductors,Body Only,none
Fire Hydrant,Strength,Abductors,Body Only,none
Side Leg Raises,Stretching,Adductors,Body Only,none
Single-leg lying cross-over stretch,Stretching,Abductors,Body Only,none
Groin and Back Stretch,Stretching,Adductors,none,none
Adductor/Groin,Stretching,Adductors,none,none
Brachialis SMR,Stretching,Biceps,Foam Roll,none
Wide-grip barbell curl,Strength,Biceps,Barbell,none
Close-grip EZ-bar curl,Strength,Biceps,Barbell,none
Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,none
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,none
Close-grip barbell curl,Strength,Biceps,Barbell,none
Drag curl,Strength,Biceps,Barbell,none
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,none
Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,none
Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,none
Incline Hammer Curls,Strength,Biceps,Dumbbell,none
Biceps curl to shoulder press,Strength,Biceps,Dumbbell,none
Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,none
Cross-body hammer curl,Strength,Biceps,Dumbbell,none
Standing concentration curl,Strength,Biceps,Dumbbell,none
Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,none
Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,none
Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,none
Palms-out incline biceps curl,Strength,Biceps,Dumbbell,none
Straight-arm plank with biceps curl,Strength,Biceps,Dumbbell,none
Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,none
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,none
Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,none
Reverse Plate Curls,Strength,Biceps,Other,none
Standing Biceps Stretch,Stretching,Biceps,Other,none
Suspended Curl,Strength,Biceps,Other,none
Plate hammer curl,Strength,Biceps,Other,none
Standing One-Arm Cable Curl,Strength,Biceps,Cable,none
Reverse Cable Curl,Strength,Biceps,Cable,none
Lying cable biceps curl,Strength,Biceps,Cable,none
Cable rope preacher hammer curl,Strength,Biceps,Cable,none
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,none
Machine Bicep Curl,Strength,Biceps,Machine,none
Machine Preacher Curls,Strength,Biceps,Machine,none
Seated Biceps,Stretching,Biceps,Body Only,none
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,none
Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,none
Calf Raises - With Bands,Strength,Calves,Bands,none
Calf SMR,Stretching,Calves,Foam Roll,none
Rocking Standing Calf Raise,Strength,Calves,Barbell,none
Standing barbell calf raise,Strength,Calves,Barbell,none
Barbell Seated Calf Raise,Strength,Calves,Barbell,none
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,none
Balance Board,Strength,Calves,Other,none
Anterior Tibialis-SMR,Stretching,Calves,Other,none
Foot-SMR,Stretching,Calves,Other,none
Standing Calf Raises,Strength,Calves,Machine,none
Calf Press,Strength,Calves,Machine,none
Smith Machine Reverse Calf Raises,Strength,Calves,Machine,none
Knee Circles,Stretching,Calves,Body Only,none
Ankle Circles,Stretching,Calves,none,none
Calf Stretch Elbows Against Wall,Stretching,Calves,none,none
Standing Soleus And Achilles Stretch,Stretching,Calves,none,none
Cross Over - With Bands,Strength,Chest,Bands,none
Bench Press - With Bands,Strength,Chest,Bands,none
Bench Press With Short Bands,Powerlifting,Chest,Bands,none
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,none
Wide-grip bench press,Strength,Chest,Barbell,none
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,none
Neck Press,Strength,Chest,Barbell,none
Front Raise And Pullover,Strength,Chest,Barbell,none
Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,none
Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,none
Barbell Guillotine Bench Press,Strength,Chest,Barbell,none
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,none
Kettlebell alternating floor press,Strength,Chest,Kettlebells,none
One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,none
Leg-Over Floor Press,Strength,Chest,Kettlebells,none
Hands-elevated push-up,Strength,Chest,Body Only,none
Single-Arm Push-Up,Strength,Chest,Body Only,none
Wide-grip hands-elevated push-up,Strength,Chest,Body Only,none
Isometric Wipers,Strength,Chest,Body Only,none
Clock push-up,Strength,Chest,Body Only,none
Push-Up Wide,Strength,Chest,Body Only,none
Close-Hands Push-Up,Strength,Chest,Body Only,none
Tiger-bend push-up,Strength,Chest,Body Only,none
Plyo push-up,Plyometrics,Chest,Body Only,none
Isometric Chest Squeezes,Plyometrics,Chest,Body Only,none
Side-to-side push-up,Strength,Chest,Body Only,none
Typewriter push-up,Strength,Chest,Body Only,none
Judo push-up,Strength,Chest,Body Only,none
Superman Push-Up,Plyometrics,Chest,Body Only,none
Wide push-up,Strength,Chest,Body Only,none
One-Arm Push-Up,Strength,Chest,Body Only,none
Clapping Push-Up,Plyometrics,Chest,Body Only,none
Staggered push-up,Strength,Chest,Body Only,none
Reverse-grip hands-elevated push-up,Strength,Chest,Body Only,none
Triple Clap Push-Up,Plyometrics,Chest,Body Only,none
Leverage Incline Chest Press,Strength,Chest,Machine,none
Leverage Chest Press,Strength,Chest,Machine,none
Decline Smith Press,Strength,Chest,Machine,none
Leverage Decline Chest Press,Strength,Chest,Machine,none
Smith Machine Decline Press,Strength,Chest,Machine,none
Smith machine bench press throw,Strength,Chest,Machine,none
Incline cable chest press,Strength,Chest,Cable,none
Cable Chest Press,Strength,Chest,Cable,none
Cable cross-over,Strength,Chest,Cable,none
Standing Cable Chest Press,Strength,Chest,Cable,none
Chest Push (multiple response),Plyometrics,Chest,Medicine Ball,none
Chest Push (single response),Plyometrics,Chest,Medicine Ball,none
Chest Push with Run Release,Plyometrics,Chest,Medicine Ball,none
Chest Push from 3 point stance,Plyometrics,Chest,Medicine Ball,none
Reverse-grip incline dumbbell bench press,Strength,Chest,Dumbbell,none
Hammer Grip Incline DB Bench Press,Strength,Chest,Dumbbell,none
Incline Dumbbell Bench With Palms Facing In,Strength,Chest,Dumbbell,none
Incline Dumbbell Flyes - With A Twist,Strength,Chest,Dumbbell,none
One-Arm Flat Bench Dumbbell Flye,Strength,Chest,Dumbbell,none
Bodyweight Flyes,Strength,Chest,E-Z Curl Bar,none
Drop Push,Plyometrics,Chest,Other,none
Forward Drag with Press,Strongman,Chest,Other,none
Chain Press,Powerlifting,Chest,Other,none
Behind Head Chest Stretch,Stretching,Chest,Other,none
Pass-through stretch with band,Stretching,Chest,Other,none
Heavy Bag Thrust,Plyometrics,Chest,Other,none
Decline Explosive Push-Up,Plyometrics,Chest,Other,none
Suspended Chest Fly,Strength,Chest,Other,none
Svend press,Strength,Chest,Other,none
Bar Push-Up Smith Machine,Plyometrics,Chest,Other,none
Exercise ball chest stretch,Stretching,Chest,Exercise Ball,none
Bosu Ball Push-Up,Strength,Chest,Exercise Ball,none
Standing behind-the-back wrist curl,Strength,Forearms,Barbell,none
Seated finger curl,Strength,Forearms,Barbell,none
Bottoms-Up Clean From The Hang Position,Strength,Forearms,Kettlebells,none
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Strength,Forearms,Dumbbell,none
Palms-Up Dumbbell Wrist Curl Over A Bench,Strength,Forearms,Dumbbell,none
Seated palms-down wrist curl,Strength,Forearms,Dumbbell,none
Palms-Down Dumbbell Wrist Curl Over A Bench,Strength,Forearms,Dumbbell,none
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Strength,Forearms,Dumbbell,none
Seated Dumbbell Palms-Up Wrist Curl,Strength,Forearms,Dumbbell,none
Partner farmer's walk,Strength,Forearms,Dumbbell,none
Rickshaw Carry,Strongman,Forearms,Other,none
Wrist Roller,Strength,Forearms,Other,none
Standing Olympic Plate Hand Squeeze,Strength,Forearms,Other,none
Plate Pinch,Strength,Forearms,Other,none
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Strength,Forearms,Cable,none
Cable Wrist Curl,Strength,Forearms,Cable,none
Wrist Circles,Stretching,Forearms,Body Only,none
Kneeling Forearm Stretch,Stretching,Forearms,none,none
Hip Extension with Bands,Strength,Glutes,Bands,none
Hip Lift with Band,Powerlifting,Glutes,Bands,none
Kneeling Squat,Powerlifting,Glutes,Barbell,none
Kneeling Jump Squat,Olympic Weightlifting,Glutes,Barbell,none
Suspended Hip Thrust,Strength,Glutes,Other,none
Pull Through,Strength,Glutes,Cable,none
Glute Kickback,Strength,Glutes,Body Only,none
Standing hip extension,Strength,Glutes,Body Only,none
Seated Glute,Stretching,Glutes,Body Only,none
Lying Glute,Stretching,Glutes,Body Only,none
Seated Glute Stretch,Stretching,Glutes,Body Only,none
Neck Bridge Supine,Strength,Glutes,Body Only,none
Downward Facing Balance,Strength,Glutes,Exercise Ball,none
Band Good Morning (Pull Through),Powerlifting,Hamstrings,Bands,none
Hamstring-SMR,Stretching,Hamstrings,Foam Roll,none
Clean Deadlift,Olympic Weightlifting,Hamstrings,Barbell,none
Sumo deadlift,Powerlifting,Hamstrings,Barbell,none
Romanian Deadlift from Deficit,Olympic Weightlifting,Hamstrings,Barbell,none
Power Snatch,Olympic Weightlifting,Hamstrings,Barbell,none
Power Clean from Blocks,Olympic Weightlifting,Hamstrings,Barbell,none
Snatch Deadlift,Olympic Weightlifting,Hamstrings,Barbell,none
Hang Snatch,Olympic Weightlifting,Hamstrings,Barbell,none
Wide Stance Stiff Legs,Olympic Weightlifting,Hamstrings,Barbell,none
Clean,Olympic Weightlifting,Hamstrings,Barbell,none
Sumo Deadlift with Chains,Powerlifting,Hamstrings,Barbell,none
Sumo Deadlift with Bands,Powerlifting,Hamstrings,Barbell,none
Good Morning off Pins,Powerlifting,Hamstrings,Barbell,none
Stiff-Legged Deadlift,Strength,Hamstrings,Barbell,none
Snatch Pull,Strength,Hamstrings,Barbell,none
Hanging Bar Good Morning,Powerlifting,Hamstrings,Barbell,none
Reverse Band Sumo Deadlift,Powerlifting,Hamstrings,Barbell,none
Muscle Snatch,Olympic Weightlifting,Hamstrings,Barbell,none
Split Snatch,Olympic Weightlifting,Hamstrings,Barbell,none
Hang Snatch - Below Knees,Olympic Weightlifting,Hamstrings,Barbell,none
Single-arm kettlebell clean,Strength,Hamstrings,Kettlebells,none
Romanian Deadlift with Kettlebell,Strength,Hamstrings,Kettlebells,none
Kettlebell Dead Clean,Strength,Hamstrings,Kettlebells,none
Alternating Hang Clean,Strength,Hamstrings,Kettlebells,none
One-Arm Open Palm Kettlebell Clean,Strength,Hamstrings,Kettlebells,none
Open Palm Kettlebell Clean,Strength,Hamstrings,Kettlebells,none
Kettlebell Hang Clean,Strength,Hamstrings,Kettlebells,none
Double Kettlebell Alternating Hang Clean,Strength,Hamstrings,Kettlebells,none
Romanian Deadlift With Dumbbells,Strength,Hamstrings,Dumbbell,none
Vertical Swing,Plyometrics,Hamstrings,Dumbbell,none
Box jump,Plyometrics,Hamstrings,Other,none
Sled push-,Cardio,Hamstrings,Other,none
Lying Hamstring,Stretching,Hamstrings,Other,none
Chair Leg Extended Stretch,Stretching,Hamstrings,Other,none
Suspended Leg Curl,Strength,Hamstrings,Other,none
Box Skip,Plyometrics,Hamstrings,Other,none
Power Stairs,Strongman,Hamstrings,Other,none
Seated Hamstring and Calf Stretch,Stretching,Hamstrings,Other,none
Hamstring slide,Strength,Hamstrings,Other,none
Lying Leg Curls,Strength,Hamstrings,Machine,none
Reverse Hyperextension,Strength,Hamstrings,Machine,none
Standing Leg Curl,Strength,Hamstrings,Machine,none
Smith machine stiff-legged deadlift,Strength,Hamstrings,Machine,none
Natural Glute Ham Raise,Strength,Hamstrings,Body Only,none
Standing leg swing,Stretching,Hamstrings,Body Only,none
Inchworm,Stretching,Hamstrings,Body Only,none
90/90 Hamstring,Stretching,Hamstrings,Body Only,none
Knee To Chest,Stretching,Hamstrings,Body Only,none
Hip Stretch With Twist,Stretching,Hamstrings,Body Only,none
Alternating Leg Swing,Stretching,Hamstrings,Body Only,none
Single-leg balance and reach,Stretching,Hamstrings,Body Only,none
High Kick,Stretching,Hamstrings,Body Only,none
Glute ham raise-,Strength,Hamstrings,none,none
Lying hamstring stretch with band,Stretching,Hamstrings,none,none
Upper Back-Leg Grab,Stretching,Hamstrings,none,none
Seated Hamstring,Stretching,Hamstrings,none,none
Alternating lunge jump,Stretching,Hamstrings,none,none
Assisted Chin-Up,Strength,Lats,Bands,none
Barbell pull-over to press,Strength,Lats,Barbell,none
Rocky Pull-Ups/Pulldowns,Strength,Lats,Other,none
Gironda Sternum Chins,Strength,Lats,Other,none
Floor rope climb,Strength,Lats,Other,none
Overhead Lat,Stretching,Lats,Other,none
Around-the-world pull-up,Strength,Lats,Other,none
L-sit chin-up,Strength,Lats,Other,none
Single-arm kneeling lat pull-down,Strength,Lats,Cable,none
Elevated Cable Rows,Strength,Lats,Cable,none
Full Range-Of-Motion Lat Pulldown,Strength,Lats,Cable,none
Machine seated row,Strength,Lats,Machine,none
Machine-assisted pull-up,Strength,Lats,Machine,none
Pull-up,Strength,Lats,Body Only,none
Wide-Grip Rear Pull-Up,Strength,Lats,Body Only,none
Catch and Overhead Throw,Plyometrics,Lats,Medicine Ball,none
Dynamic Back Stretch,Stretching,Lats,none,none
Chair Lower Back Stretch,Stretching,Lats,none,none
Side-Lying Floor Stretch,Stretching,Lats,none,none
Barbell deficit deadlift,Powerlifting,Lower Back,Barbell,none
Deadlift with Bands,Powerlifting,Lower Back,Barbell,none
Deadlift with Chains,Powerlifting,Lower Back,Barbell,none
Rack Pull with Bands,Powerlifting,Lower Back,Barbell,none
Seated Good Mornings,Powerlifting,Lower Back,Barbell,none
Stiff Leg Barbell Good Morning,Strength,Lower Back,Barbell,none
Reverse Band Deadlift,Powerlifting,Lower Back,Barbell,none
Axle Deadlift,Strongman,Lower Back,Other,none
Atlas Stone Trainer,Strongman,Lower Back,Other,none
Partner Flat-Bench Back Extension,Strength,Lower Back,Other,none
Keg Load,Strongman,Lower Back,Other,none
Partner bench back extension,Strength,Lower Back,Other,none
Seated Back Extension,Strength,Lower Back,Machine,none
Hyperextensions With No Hyperextension Bench,Strength,Lower Back,Body Only,none
Partner Superman with alternating high-five,Strength,Lower Back,Body Only,none
Dancer's Stretch,Stretching,Lower Back,none,none
Cat Stretch,Stretching,Lower Back,none,none
Crossover Reverse Lunge,Stretching,Lower Back,none,none
Standing Pelvic Tilt,Stretching,Lower Back,none,none
Exercise ball weighted hyperextension,Strength,Lower Back,Exercise Ball,none
Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Bands,none
Yates Row Reverse Grip,Strength,Middle Back,Barbell,none
Straight Bar Bench Mid Rows,Strength,Middle Back,Barbell,none
Yates Row,Strength,Middle Back,Barbell,none
Plate Row,Strength,Middle Back,Barbell,none
Barbell Deadlift Bent Row Complex,Strength,Middle Back,Barbell,none
Single-Arm Landmine Row,Strength,Middle Back,Barbell,none
Two-Arm Kettlebell Row,Strength,Middle Back,Kettlebells,none
Bent Over Two-Dumbbell Row With Palms In,Strength,Middle Back,Dumbbell,none
Middle Back Shrug,Strength,Middle Back,Dumbbell,none
Inverted Row with Straps,Strength,Middle Back,Other,none
One Arm Chin-Up,Strength,Middle Back,Other,none
Sled Row,Strength,Middle Back,Other,none
Leverage High Row,Strength,Middle Back,Machine,none
Upright Row - With Bands,Strength,Traps,Bands,none
Clean Shrug,Olympic Weightlifting,Traps,Barbell,none
Snatch Shrug,Olympic Weightlifting,Traps,Barbell,none
Lying Face Down Plate Neck Resistance,Strength,Neck,Other,none
Lying Face Up Plate Neck Resistance,Strength,Neck,Other,none
Seated Head Harness Neck Resistance,Strength,Neck,Other,none
Calf-Machine Shoulder Shrug,Strength,Traps,Machine,none
Isometric Neck Exercise - Sides,Strength,Neck,Body Only,none
Isometric Neck Exercise - Front And Back,Strength,Neck,Body Only,none
Neck Bridge Prone,Strength,Neck,Body Only,none
Scapular Pull-Up,Strength,Traps,none,none
Squats - With Bands,Strength,Quadriceps,Bands,none
Hip Flexion with Band,Strength,Quadriceps,Bands,none
Forward Band Walk,Strength,Quadriceps,Bands,none
Clean from Blocks,Olympic Weightlifting,Quadriceps,Barbell,none
Hang Clean,Olympic Weightlifting,Quadriceps,Barbell,none
Olympic Squat,Olympic Weightlifting,Quadriceps,Barbell,none
Box Squat with Bands,Powerlifting,Quadriceps,Barbell,none
Weighted Jump Squat,Strength,Quadriceps,Barbell,none
Squat with Chains,Powerlifting,Quadriceps,Barbell,none
Hang Clean - Below the Knees,Olympic Weightlifting,Quadriceps,Barbell,none
Split Jerk,Olympic Weightlifting,Quadriceps,Barbell,none
Jefferson Squats,Strength,Quadriceps,Barbell,none
Jerk Dip Squat,Olympic Weightlifting,Quadriceps,Barbell,none
Frankenstein Squat,Olympic Weightlifting,Quadriceps,Barbell,none
Clean Pull,Olympic Weightlifting,Quadriceps,Barbell,none
Front Barbell Squat To A Bench,Strength,Quadriceps,Barbell,none
Split Clean,Olympic Weightlifting,Quadriceps,Barbell,none
Front Squat (Clean Grip),Strength,Quadriceps,Barbell,none
Squat Jerk,Strength,Quadriceps,Barbell,none
Box Squat with Chains,Strength,Quadriceps,Barbell,none
Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,none
Power Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,none
Squat with Bands,Powerlifting,Quadriceps,Barbell,none
Heaving Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,none
Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,none
Reverse Band Power Squat,Powerlifting,Quadriceps,Barbell,none
Front Squats With Two Kettlebells,Strength,Quadriceps,Kettlebells,none
Kettlebell Pistol Squat,Strength,Quadriceps,Kettlebells,none
Kettlebell Curtsy Lunge,Strength,Quadriceps,Kettlebells,none
Dumbbell Squat To A Bench,Strength,Quadriceps,Dumbbell,none
Single-Arm Dumbbell Overhead Squat,Strength,Quadriceps,Dumbbell,none
Dumbbell Pistol Squat,Strength,Quadriceps,Dumbbell,none
Dumbbell Squat Snatch,Strength,Quadriceps,Dumbbell,none
Dumbbell Alternating Lunge,Strength,Quadriceps,Dumbbell,none
Dumbbell Side Lunge,Strength,Quadriceps,Dumbbell,none
Single Leg Push-off,Plyometrics,Quadriceps,Other,none
Skating,Cardio,Quadriceps,Other,none
Yoke Walk,Strongman,Quadriceps,Other,none
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps,Other,none
Weighted Squat,Strength,Quadriceps,Other,none
Backward Drag,Strongman,Quadriceps,Other,none
Intermediate Hip Flexor and Quad Stretch,Stretching,Quadriceps,Other,none
Single-Leg Box Jump,Plyometrics,Quadriceps,Other,none
Conan's Wheel,Strongman,Quadriceps,Other,none
Single-Leg Hop Progression,Plyometrics,Quadriceps,Other,none
Rickshaw Deadlift,Strongman,Quadriceps,Other,none
Single-Leg Stride Jump,Plyometrics,Quadriceps,Other,none
Trap Bar Jump,Plyometrics,Quadriceps,Other,none
Single-Leg Lateral Hop,Plyometrics,Quadriceps,Other,none
Sandbag Load,Strongman,Quadriceps,Other,none
Car Deadlift,Strongman,Quadriceps,Other,none
Barbell Squat To A Box,Strength,Quadriceps,Other,none
Double Under,Cardio,Quadriceps,Other,none
Cable Hip Adduction,Strength,Quadriceps,Cable,none
Cable Deadlifts,Strength,Quadriceps,Cable,none
Narrow Stance Hack Squats,Strength,Quadriceps,Machine,none
Recumbent Bike,Cardio,Quadriceps,Machine,none
Leverage Deadlift,Strength,Quadriceps,Machine,none
Alien Squat,Plyometrics,Quadriceps,Body Only,none
Rocket Jump,Plyometrics,Quadriceps,Body Only,none
All Fours Quad Stretch,Stretching,Quadriceps,Body Only,none
Rear Leg Raises,Stretching,Quadriceps,Body Only,none
Slide Jump Shot,Plyometrics,Quadriceps,Body Only,none
Star Jump,Plyometrics,Quadriceps,Body Only,none
Lying Prone Quadriceps,Stretching,Quadriceps,Body Only,none
Fast Kick With Arm Circles,Cardio,Quadriceps,Body Only,none
Defensive Slide,Cardio,Quadriceps,Body Only,none
Vertical Mountain Climber,Cardio,Quadriceps,Body Only,none
Reverse Burpee,Plyometrics,Quadriceps,Body Only,none
Football Up-Down,Cardio,Quadriceps,Body Only,none
Slow Jog,Cardio,Quadriceps,Body Only,none
Square Hop,Plyometrics,Quadriceps,Body Only,none
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps,none,none
Sit Squats,Stretching,Quadriceps,none,none
Frog Hops,Stretching,Quadriceps,none,none
Bosu Ball Squat,Strength,Quadriceps,Exercise Ball,none
Internal Rotation with Band,Strength,Shoulders,Bands,none
Back Flyes - With Bands,Strength,Shoulders,Bands,none
Lateral Raise - With Bands,Strength,Shoulders,Bands,none
Shoulder Press - With Bands,Strength,Shoulders,Bands,none
External Rotation with Band,Strength,Shoulders,Bands,none
Snatch-Grip Behind-The-Neck Overhead Press,Strength,Shoulders,Barbell,none
Bradford/Rocky Presses,Strength,Shoulders,Barbell,none
Rack Delivery,Olympic Weightlifting,Shoulders,Barbell,none
Smith Incline Shoulder Raise,Strength,Shoulders,Barbell,none
Tall Muscle Snatch,Olympic Weightlifting,Shoulders,Barbell,none
Axle Clean And Press,Strongman,Shoulders,Barbell,none
Jerk Balance,Olympic Weightlifting,Shoulders,Barbell,none
Two-Arm Kettlebell Military Press,Strength,Shoulders,Kettlebells,none
Alternating Kettlebell Press,Strength,Shoulders,Kettlebells,none
Two-Arm Kettlebell Clean,Strength,Shoulders,Kettlebells,none
Kettlebell Seated Press,Strength,Shoulders,Kettlebells,none
Double Kettlebell Jerk,Strength,Shoulders,Kettlebells,none
Kettlebell Arnold Press,Strength,Shoulders,Kettlebells,none
One-Arm Kettlebell Split Snatch,Strength,Shoulders,Kettlebells,none
One-Arm Kettlebell Para Press,Strength,Shoulders,Kettlebells,none
One-Arm Kettlebell Split Jerk,Strength,Shoulders,Kettlebells,none
One-Arm Kettlebell Military Press To The Side,Strength,Shoulders,Kettlebells,none
One-Arm Kettlebell Jerk,Strength,Shoulders,Kettlebells,none
Double Kettlebell Snatch,Strength,Shoulders,Kettlebells,none
Two-Arm Kettlebell Jerk,Strength,Shoulders,Kettlebells,none
Power Partials,Strength,Shoulders,Dumbbell,none
Dumbbell Raise,Strength,Shoulders,Dumbbell,none
Reverse Flyes With External Rotation,Strength,Shoulders,Dumbbell,none
Dumbbell Scaption,Strength,Shoulders,Dumbbell,none
See-Saw Press (Alternating Side Press),Strength,Shoulders,Dumbbell,none
Dumbbell Incline Shoulder Raise,Strength,Shoulders,Dumbbell,none
Dumbbell Clean And Jerk,Strength,Shoulders,Dumbbell,none
Circus Bell,Strongman,Shoulders,Other,none
Crucifix,Strongman,Shoulders,Other,none
Bar shoulder extension stretch,Stretching,Shoulders,Other,none
Chair Upper Body Stretch,Stretching,Shoulders,Other,none
Sled Overhead Backward Walk,Strength,Shoulders,Other,none
Log Lift,Strongman,Shoulders,Other,none
Cable Internal Rotation,Strength,Shoulders,Cable,none
Cable Shoulder Press,Strength,Shoulders,Cable,none
Alternating Cable Shoulder Press,Strength,Shoulders,Cable,none
Seated Front Deltoid,Stretching,Shoulders,Body Only,none
Backward Medicine Ball Throw,Plyometrics,Shoulders,Medicine Ball,none
Standing Two-Arm Overhead Throw,Plyometrics,Shoulders,Medicine Ball,none
Side Wrist Pull,Stretching,Shoulders,none,none
Elbow Circles,Stretching,Shoulders,none,none
Kneeling Arm Drill,Plyometrics,Shoulders,none,none
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps,Barbell,none
Bench Press with Chains,Powerlifting,Triceps,Barbell,none
Floor Press,Powerlifting,Triceps,Barbell,none
One Arm Floor Press,Strength,Triceps,Barbell,none
Pin Presses,Powerlifting,Triceps,Barbell,none
JM Press With Bands,Strength,Triceps,Barbell,none
JM Press,Strength,Triceps,Barbell,none
Floor Press with Chains,Powerlifting,Triceps,Barbell,none
Reverse Band Bench Press,Powerlifting,Triceps,Barbell,none
Decline Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,none
One Arm Pronated Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,none
One Arm Supinated Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,none
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,none
Tate Press,Strength,Triceps,Dumbbell,none
Seated Bent-Over One-Arm Dumbbell Triceps Extension,Strength,Triceps,Dumbbell,none
Dumbbell Tricep Extension -Pronated Grip,Strength,Triceps,Dumbbell,none
Chain Handle Extension,Powerlifting,Triceps,Other,none
Sled Overhead Triceps Extension,Strength,Triceps,Other,none
Suspended Triceps Press,Strength,Triceps,Other,none
Low Cable Triceps Extension,Strength,Triceps,Cable,none
Standing Towel Triceps Extension,Strength,Triceps,Body Only,none
Overhead Triceps,Stretching,Triceps,Body Only,none
Supine Chest Throw,Plyometrics,Triceps,Medicine Ball,none
Lying Close-Grip Barbell Triceps Press To Chin,Strength,Triceps,E-Z Curl Bar,none
3/4 sit-up,none,waist,body weight,abs
45ÃÂ° side bend,none,waist,body weight,abs
air bike,none,waist,body weight,abs
all fours squad stretch,none,upper legs,body weight,quads
alternate heel touchers,none,waist,body weight,abs
alternate lateral pulldown,none,back,cable,lats
ankle circles,none,lower legs,body weight,calves
archer pull up,none,back,body weight,lats
archer push up,none,chest,body weight,pectorals
arm slingers hanging bent knee legs,none,waist,body weight,abs
arm slingers hanging straight legs,none,waist,body weight,abs
arms apart circular toe touch (male),none,upper legs,body weight,glutes
arms overhead full sit-up (male),none,waist,body weight,abs
assisted chest dip (kneeling),none,chest,leverage machine,pectorals
assisted hanging knee raise,none,waist,assisted,abs
assisted hanging knee raise with throw down,none,waist,assisted,abs
